User ID,Cohort Group,Date,Revenue
1,2021-03,2021-11-03,$901.99
2,2022-04,2023-03-25,$832.41
3,2023-02,2022-10-27,$807.57
4,2023-09,2023-03-21,$23.64
5,2021-10,2023-01-02,$584.93
6,2021-01,2023-06-18,$291.17
7,2021-07,2021-09-12,$707.80
8,2023-03,2022-09-11,$462.19
9,2021-08,2021-05-23,$980.10
10,2023-07,2022-12-03,$652.69
11,2021-02,2022-03-04,$836.97
12,2022-06,2021-04-28,$845.44
13,2023-09,2022-09-21,$313.52
14,2021-07,2022-07-09,$454.76
15,2022-05,2021-07-20,$89.49
16,2021-01,2021-02-26,$271.52
17,2023-09,2023-11-25,$972.78
18,2021-02,2023-08-08,$706.10
19,2021-11,2022-05-10,$270.59
20,2022-10,2022-04-03,$569.68
21,2021-01,2022-10-02,$156.08
22,2023-03,2023-01-18,$730.43
23,2021-02,2023-06-23,$209.18
24,2022-01,2021-01-14,$527.13
25,2021-05,2021-01-30,$497.03
26,2021-07,2023-10-09,$633.37
27,2021-06,2021-04-20,$761.30
28,2021-10,2023-10-16,$779.79
29,2022-12,2022-08-16,$553.13
30,2023-12,2023-02-26,$868.68
31,2022-05,2022-09-24,$73.82
32,2023-03,2023-02-03,$329.32
33,2023-12,2022-05-11,$851.42
34,2023-07,2022-03-05,$542.74
35,2023-11,2023-12-24,$34.39
36,2021-03,2022-01-27,$636.02
37,2022-03,2022-12-24,$481.55
38,2022-03,2021-01-23,$507.92
39,2021-09,2023-05-28,$908.16
40,2021-02,2022-05-02,$879.49
41,2021-01,2021-06-13,$720.28
42,2023-07,2021-07-16,$34.64
43,2021-03,2021-01-22,$995.88
44,2022-04,2023-11-05,$301.70
45,2021-09,2023-04-18,$998.81
46,2023-07,2021-09-23,$881.30
47,2022-12,2023-04-13,$911.42
48,2021-09,2022-01-25,$560.45
49,2021-09,2023-04-07,$714.76
50,2022-04,2023-03-11,$28.11
51,2023-05,2022-07-03,$175.07
52,2021-10,2021-09-22,$286.17
53,2022-07,2023-02-16,$390.21
54,2023-07,2021-10-08,$675.49
55,2022-11,2023-03-26,$488.49
56,2022-12,2023-03-04,$173.56
57,2023-10,2021-04-14,$835.34
58,2022-03,2021-03-22,$781.95
59,2021-09,2021-10-14,$165.17
60,2023-02,2022-07-30,$977.65
61,2021-08,2022-10-25,$282.09
62,2021-04,2022-03-20,$926.96
63,2023-12,2021-12-16,$619.82
64,2023-12,2023-12-17,$180.91
65,2021-12,2021-09-08,$575.86
66,2021-02,2022-04-30,$969.92
67,2021-03,2023-04-29,$635.04
68,2022-03,2022-01-25,$53.91
69,2023-03,2022-02-14,$397.84
70,2023-08,2022-09-24,$934.02
71,2022-05,2022-01-23,$319.89
72,2023-08,2023-06-15,$807.28
73,2023-10,2022-09-01,$173.76
74,2022-04,2023-11-22,$169.95
75,2022-05,2021-06-25,$670.67
76,2022-03,2023-02-18,$243.55
77,2022-03,2022-09-17,$367.51
78,2022-03,2021-10-25,$905.21
79,2023-05,2023-04-15,$648.80
80,2021-10,2021-05-16,$941.16
81,2022-11,2022-11-28,$76.89
82,2021-04,2021-01-08,$66.17
83,2021-06,2021-06-01,$284.76
84,2022-04,2021-12-11,$534.39
85,2021-12,2023-02-22,$329.62
86,2021-12,2022-03-29,$388.33
87,2022-04,2023-09-28,$853.90
88,2022-10,2023-10-12,$354.45
89,2023-02,2023-09-06,$849.45
90,2023-05,2023-08-28,$780.72
91,2022-08,2022-07-15,$291.03
92,2022-02,2022-05-26,$630.72
93,2023-10,2021-05-01,$945.81
94,2021-08,2023-07-05,$165.39
95,2023-12,2023-08-06,$507.23
96,2022-07,2023-07-31,$19.34
97,2022-10,2023-11-23,$115.23
98,2023-07,2023-10-12,$595.86
99,2022-03,2022-03-04,$217.70
100,2021-02,2022-04-27,$366.74
101,2022-02,2022-01-27,$383.72
102,2021-02,2023-06-08,$119.31
103,2023-05,2023-06-26,$987.08
104,2021-04,2021-05-09,$793.40
105,2021-03,2023-06-09,$285.33
106,2023-09,2021-08-09,$834.48
107,2021-10,2022-06-11,$946.23
108,2022-02,2021-02-18,$119.65
109,2022-04,2023-02-17,$700.48
110,2021-03,2022-07-10,$332.52
111,2022-05,2021-02-15,$802.03
112,2021-06,2022-02-20,$717.31
113,2022-12,2021-10-25,$523.10
114,2021-11,2023-08-29,$28.97
115,2021-07,2023-08-07,$337.49
116,2023-06,2023-08-25,$343.31
117,2022-01,2023-06-16,$894.33
118,2023-10,2022-02-19,$89.16
119,2021-12,2022-11-10,$422.75
120,2021-06,2023-06-29,$134.87
121,2021-05,2022-07-16,$584.75
122,2022-06,2021-03-19,$336.75
123,2022-03,2021-10-20,$26.51
124,2022-09,2022-09-14,$363.32
125,2022-02,2021-05-18,$444.54
126,2023-05,2023-05-31,$577.91
127,2023-11,2023-06-29,$495.28
128,2023-06,2021-06-07,$20.60
129,2022-04,2022-06-21,$925.98
130,2021-03,2023-06-06,$530.99
131,2021-06,2022-03-12,$460.63
132,2022-08,2023-02-17,$253.61
133,2021-05,2022-04-14,$899.15
134,2022-08,2022-07-11,$337.64
135,2022-07,2023-10-18,$574.68
136,2023-04,2021-01-13,$143.28
137,2021-06,2023-11-28,$738.84
138,2021-11,2023-04-21,$384.09
139,2022-04,2023-06-22,$420.64
140,2023-12,2022-10-24,$478.15
141,2023-06,2021-08-05,$171.70
142,2022-12,2021-01-28,$873.94
143,2021-07,2023-04-27,$103.03
144,2021-02,2023-10-30,$288.93
145,2021-02,2021-12-22,$864.93
146,2021-11,2023-06-03,$741.67
147,2021-03,2021-06-09,$741.09
148,2021-10,2022-08-28,$650.29
149,2021-12,2022-08-27,$758.14
